J_OWS_mA_cm2,status,calculation_origin,mean_V_bb_0_V,Delta_V_bb_0_V,architecture,state,faradaic_active,V_cat_HER_V_vs_RHE,V_cat_OER_V_vs_RHE,E_cat_HER_eV,E_cat_OER_eV,Delta_V_cat_V,Delta_E_cat_eV,eta_HER_V,eta_OER_V,J_sem_mA_cm2,J_gen_mA_cm2,J_contact_mA_cm2,signed_opposite_carrier_term_mA_cm2,J_SRH_mA_cm2,E_CB_s_HER_eV,E_CB_s_OER_eV,E_CB_bulk_eV,V_bb_HER_V,V_bb_OER_V,Delta_E_CB_surface_eV,Phi_B_HER_eV,Phi_B_OER_eV,Delta_E_F_center_eV,j_HER_anodic_mA_cm2,j_OER_anodic_mA_cm2,catalyst_balance_HER_A_m2,catalyst_balance_OER_A_m2,integrated_current_balance_A_m2,BVP_rms_max,adaptive_mesh_nodes,initialization,utilization_percent
0.0,analytic_symmetry,symmetry_assignment_no_BVP,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.69939628669033,ok,recomputed_BVP,0.7,0.05,AA,finite_current,True,-0.284473662853565,1.5827889328870615,0.284473662853565,-1.5827889328870615,1.8672625957406264,1.8672625957406264,-0.284473662853565,0.35378893288706137,0.69939628669033,1.8609145914407157,1.1582824870213453,1.1582824870213453,0.0032358176394992424,0.7802120108495785,0.8302120108495785,0.48542609038623813,0.29478592046334035,0.3447859204633404,0.050000000000000044,0.49573834799601346,2.41300094373664,2.707358961564974,-0.6993962866902838,0.699396286690271,4.636291350834654e-13,-5.915268275202834e-13,8.954107108549714e-10,2.989990763118548e-07,1596.0,fresh_parameter_continuation,37.58347050999579
0.9035797984201664,ok,recomputed_BVP,0.7,0.1,AA,finite_current,True,-0.29559766570406504,1.5872386605086708,0.29559766570406504,-1.5872386605086708,1.882836326212736,1.882836326212736,-0.29559766570406504,0.3582386605086707,0.9035797984201664,1.8609145914407157,0.954172941871916,0.954172941871916,0.0031618515051456174,0.7552120108495785,0.8552120108495787,0.4649552231510297,0.29025678769854873,0.39025678769854893,0.1000000000000002,0.4596143451455134,2.4424506713582494,2.70695022246368,-0.9035797984201647,0.9035797984201791,1.7763568394002505e-14,1.2612133559741778e-13,-3.5651238489142756e-09,2.997929777714371e-07,1606.0,fresh_parameter_continuation,48.55568345673603
0.9442143752763256,ok,recomputed_BVP,0.7,0.15,AA,finite_current,True,-0.2975080293970013,1.5880028243240325,0.2975080293970013,-1.5880028243240325,1.8855108537210339,1.8855108537210339,-0.2975080293970013,0.3590028243240324,0.9442143752763256,1.8609145914407157,0.913607768811028,0.913607768811028,0.0030924479622103473,0.7302120108495785,0.8802120108495783,0.4439769756570551,0.28623503519252347,0.43623503519252327,0.1499999999999998,0.43270398145257727,2.468214835173611,2.70655153415583,-0.9442143752763252,0.9442143752763321,3.552713678800501e-15,6.572520305780927e-14,-6.08848165287168e-09,2.9996609693652804e-07,1615.0,fresh_parameter_continuation,50.739264425097396
0.9564381886636684,ok,recomputed_BVP,0.7,0.2,AA,finite_current,True,-0.298066646423743,1.5882262763319943,0.298066646423743,-1.5882262763319943,1.8862929227557372,1.8862929227557372,-0.298066646423743,0.3592262763319942,0.9564381886636684,1.8609145914407157,0.9014352458464107,0.9014352458464107,0.0030411578186146054,0.7052120108495785,0.9052120108495785,0.4265824355220859,0.2786295753274926,0.47862957532749256,0.19999999999999996,0.40714536442583554,2.493438287181573,2.706243193571523,-0.9564381886656085,0.956438188663664,-1.9401369399929536e-11,-4.263256414560601e-14,-8.879777819298385e-09,2.9971511961938915e-07,1614.0,fresh_parameter_continuation,51.39613569923143
0.9715066138705384,ok,recomputed_BVP,0.7,0.3,AA,finite_current,True,-0.2987455162033626,1.5884978304622885,0.2987455162033626,-1.5884978304622885,1.887243346665651,1.887243346665651,-0.2987455162033626,0.35949783046228845,0.9715066138705384,1.8609145914407157,0.8863991378737431,0.8863991378737431,0.0030088412937613997,0.6552120108495785,0.9552120108495785,0.40876204541904854,0.24644996543052994,0.5464499654305299,0.30000000000000004,0.3564664946462159,2.543709841311867,2.7060112682200836,-0.9715066138704438,0.9715066138705343,9.450218385609332e-13,-4.085620730620576e-14,-1.5973270709596088e-08,2.98977593862975e-07,1619.0,fresh_parameter_continuation,52.20586792854369
0.0,analytic_symmetry,symmetry_assignment_no_BVP,0.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7043735251733276,ok,recomputed_BVP,0.85,0.05,AA,finite_current,True,-0.2847816230166195,1.5829121209622747,0.2847816230166195,-1.5829121209622747,1.8676937439788943,1.8676937439788943,-0.2847816230166195,0.35391212096227465,0.7043735251733276,1.8609145914407157,1.153307414549872,1.153307414549872,0.0032336516115390596,0.9302120108495785,0.9802120108495785,0.63488055645745,0.2953314543921285,0.34533145439212853,0.050000000000000044,0.645430387832959,2.563124131811853,2.7073473029858937,-0.7043735251689708,0.7043735251689565,4.356781602155024e-11,-4.371081274712196e-11,1.0597715760507498e-09,2.9884808828253023e-07,1597.0,fresh_parameter_continuation,37.85093246154857
0.9067850170290328,ok,recomputed_BVP,0.85,0.1,AA,finite_current,True,-0.29575144421824834,1.5873001734235193,0.29575144421824834,-1.5873001734235193,1.8830516176417675,1.8830516176417675,-0.29575144421824834,0.35830017342351916,0.9067850170290328,1.8609145914407157,0.9509758989288086,0.9509758989288086,0.0031536757724823805,0.9052120108495785,1.0052120108495786,0.6127994043590831,0.2924126064904954,0.3924126064904955,0.10000000000000009,0.6094605666313302,2.592512184273098,2.7069050988546453,-0.9067850170281619,0.9067850170281776,8.707701226740028e-12,-8.551381824872806e-12,-2.8960793971299914e-09,2.9998252225384376e-07,1606.0,fresh_parameter_continuation,48.72792234527012
0.945382363879879,ok,recomputed_BVP,0.85,0.15,AA,finite_current,True,-0.2975617169575251,1.5880242998509306,0.2975617169575251,-1.5880242998509306,1.8855860168084557,1.8855860168084557,-0.2975617169575251,0.35902429985093054,0.945382363879879,1.8609145914407157,0.9124605448531053,0.9124605448531053,0.0030716831207014935,0.8802120108495786,1.0302120108495785,0.5882572196635306,0.29195479118604795,0.44195479118604786,0.1499999999999999,0.5826502938920535,2.6182363107005093,2.7064339998414404,-0.9453823638797216,0.9453823638797225,1.573852159708622e-12,-1.5649703755116207e-12,-4.129699887611693e-09,2.9894676719059976e-07,1616.0,fresh_parameter_continuation,50.80202864914752
