architecture,state,faradaic_active,V_cat_HER_V_vs_RHE,V_cat_OER_V_vs_RHE,E_cat_HER_eV,E_cat_OER_eV,Delta_V_cat_V,Delta_E_cat_eV,eta_HER_V,eta_OER_V,J_sem_mA_cm2,J_OWS_mA_cm2,J_gen_mA_cm2,J_contact_mA_cm2,signed_opposite_carrier_term_mA_cm2,J_SRH_mA_cm2,E_CB_s_HER_eV,E_CB_s_OER_eV,E_CB_bulk_eV,V_bb_HER_V,V_bb_OER_V,Delta_E_CB_surface_eV,Phi_B_HER_eV,Phi_B_OER_eV,Delta_E_F_center_eV,j_HER_anodic_mA_cm2,j_OER_anodic_mA_cm2,catalyst_balance_HER_A_m2,catalyst_balance_OER_A_m2,integrated_current_balance_A_m2,BVP_rms_max,adaptive_mesh_nodes,intensity_mW_cm2,status,calculation_origin,utilization_percent
AA,finite_current,True,-0.19750073914868166,1.5479946666987896,0.19750073914868166,-1.5479946666987896,1.7454954058474712,1.7454954058474712,-0.19750073914868166,0.3189946666987895,0.09437710851358562,0.09437710851358562,0.18609145914407163,0.09142690109065292,0.09142690109065292,0.0002874495878604022,0.9552120108495785,1.1052120108495787,0.6040727894175458,0.3511392214320327,0.5011392214320328,0.15000000000000013,0.7577112717008969,2.6532066775483685,2.6461000933680117,-0.094377108511814,0.09437710851181376,1.7716272893153473e-11,-1.7718604361505186e-11,-4.802730656748577e-10,1.187794102089658e-06,1192,1.0,ok,recomputed_BVP,50.71544333505336
AA,finite_current,True,-0.24523547046223146,1.567092745805527,0.24523547046223146,-1.567092745805527,1.8123282162677585,1.8123282162677585,-0.24523547046223146,0.33809274580552695,0.28334701718822414,0.28334701718822414,0.5582743774322149,0.27403774185585983,0.27403774185585983,0.0008896185227450946,0.9552120108495785,1.1052120108495787,0.63230213085541,0.32290987999416854,0.47290987999416867,0.15000000000000013,0.709976540387347,2.6723047566551057,2.674877388320227,-0.28334701717681043,0.2833470171763338,1.1413714418040399e-10,-1.1890355366972472e-10,-1.346142084954205e-09,1.1997581911647873e-06,1183,3.0,ok,recomputed_BVP,50.75407875451491
AA,finite_current,True,-0.2674355427350881,1.5759734038899127,0.2674355427350881,-1.5759734038899127,1.8434089466250008,1.8434089466250008,-0.2674355427350881,0.3469734038899126,0.47242742093670254,0.47242742093670254,0.9304572957203578,0.45652508891864496,0.45652508891864496,0.0015047860817744962,0.9552120108495785,1.1052120108495789,0.6454282358381911,0.30978377501138743,0.4597837750113878,0.15000000000000036,0.6877764681144904,2.681185414739492,2.688263555569218,-0.47242742090909784,0.47242742090913864,2.760467410212186e-10,-2.7563906712657626e-10,-2.1676410215387687e-09,1.199737115233877e-06,1179,5.0,ok,recomputed_BVP,50.77368118984443
AA,finite_current,True,-0.29756186293097203,1.5880243582416753,0.29756186293097203,-1.5880243582416753,1.8855862211726473,1.8855862211726473,-0.29756186293097203,0.3590243582416752,0.9453855415407645,0.9453855415407645,1.8609145914407157,0.9124574254594975,0.9124574254594975,0.003071624852798249,0.9552120108495786,1.1052120108495787,0.6632394644359723,0.29197254641360637,0.4419725464136064,0.15000000000000002,0.6576501479186065,2.693236369091254,2.7064336362282244,-0.945385541543453,0.9453855415434569,-2.688516076432279e-11,2.6924240614789596e-11,-4.123445026399386e-09,2.9891780125305135e-07,1617,10.0,ok,recomputed_BVP,50.8021994071662
AA,finite_current,True,-0.3276908847202588,1.6000761653966704,0.3276908847202588,-1.6000761653966704,1.9277670501169293,1.9277670501169293,-0.3276908847202588,0.3710761653966703,1.8919259537920698,1.8919259537920698,3.7218291828814314,1.823630678502322,1.823630678502322,0.006272551367937232,0.9552120108495785,1.1052120108495784,0.6810508827056269,0.27416112814395166,0.42416112814395157,0.1499999999999999,0.6275211261293197,2.705288176246249,2.724611574180236,-1.8919259535219095,1.8919259535223603,2.70160427362498e-09,-2.6970958799665823e-09,-7.80897571606154e-09,1.1983915479075979e-06,1169,20.0,ok,recomputed_BVP,50.83322906096795
AA,finite_current,True,-0.3453164845596631,1.607126469289244,0.3453164845596631,-1.607126469289244,1.952442953848907,1.952442953848907,-0.3453164845596631,0.37812646928924387,2.8389760731462323,2.8389760731462323,5.582743774322148,2.734241581954526,2.734241581954526,0.009526120353213619,0.9552120108495785,1.1052120108495787,0.691469911725963,0.26374209912361557,0.4137420991236157,0.15000000000000013,0.6098955262899155,2.712338480138823,2.7352490320565765,-2.8389760726107527,2.8389760726109428,5.354799270662625e-09,-5.352898568844466e-09,-1.1318232018275864e-08,1.198429883197658e-06,1166,30.0,ok,recomputed_BVP,50.85270232540698
