architecture,state,faradaic_active,V_cat_HER_V_vs_RHE,V_cat_OER_V_vs_RHE,E_cat_HER_eV,E_cat_OER_eV,Delta_V_cat_V,Delta_E_cat_eV,eta_HER_V,eta_OER_V,J_sem_mA_cm2,J_OWS_mA_cm2,J_gen_mA_cm2,J_contact_mA_cm2,signed_opposite_carrier_term_mA_cm2,J_SRH_mA_cm2,E_CB_s_HER_eV,E_CB_s_OER_eV,E_CB_bulk_eV,V_bb_HER_V,V_bb_OER_V,Delta_E_CB_surface_eV,Phi_B_HER_eV,Phi_B_OER_eV,Delta_E_F_center_eV,j_HER_anodic_mA_cm2,j_OER_anodic_mA_cm2,catalyst_balance_HER_A_m2,catalyst_balance_OER_A_m2,integrated_current_balance_A_m2,BVP_rms_max,adaptive_mesh_nodes,calculation_origin
AA,dark_equilibrium,False,0.0,0.0,-0.0,-0.0,0.0,0.0,,,-1.5589700224067555e-28,,0.0,1.5589697793668206e-28,1.5589697793668206e-28,-6.937227668095525e-49,0.9552120108495785,1.1052120108495789,0.10521203965241939,0.8499999711971591,0.9999999711971594,0.15000000000000036,0.9552120108495785,1.1052120108495789,1.3877787807814457e-16,0.0,0.0,-1.5589700224067554e-27,1.5589700224067554e-27,2.4303993484295187e-34,9.997900784566728e-09,3531,recomputed_common_Fermi_dark_BVP
AB,dark_equilibrium,False,0.0,0.0,-0.0,-0.0,0.0,0.0,,,-1.5589700224067555e-28,,0.0,1.5589697793668206e-28,1.5589697793668206e-28,-6.937227668095525e-49,0.9552120108495785,1.1052120108495789,0.10521203965241939,0.8499999711971591,0.9999999711971594,0.15000000000000036,0.9552120108495785,1.1052120108495789,1.3877787807814457e-16,0.0,0.0,-1.5589700224067554e-27,1.5589700224067554e-27,2.4303993484295187e-34,9.997900784566728e-09,3531,recomputed_common_Fermi_dark_BVP
BA,dark_equilibrium,False,0.0,0.0,-0.0,-0.0,0.0,0.0,,,-1.5589700224067555e-28,,0.0,1.5589697793668206e-28,1.5589697793668206e-28,-6.937227668095525e-49,0.9552120108495785,1.1052120108495789,0.10521203965241939,0.8499999711971591,0.9999999711971594,0.15000000000000036,0.9552120108495785,1.1052120108495789,1.3877787807814457e-16,0.0,0.0,-1.5589700224067554e-27,1.5589700224067554e-27,2.4303993484295187e-34,9.997900784566728e-09,3531,recomputed_common_Fermi_dark_BVP
BB,dark_equilibrium,False,0.0,0.0,-0.0,-0.0,0.0,0.0,,,-1.5589700224067555e-28,,0.0,1.5589697793668206e-28,1.5589697793668206e-28,-6.937227668095525e-49,0.9552120108495785,1.1052120108495789,0.10521203965241939,0.8499999711971591,0.9999999711971594,0.15000000000000036,0.9552120108495785,1.1052120108495789,1.3877787807814457e-16,0.0,0.0,-1.5589700224067554e-27,1.5589700224067554e-27,2.4303993484295187e-34,9.997900784566728e-09,3531,recomputed_common_Fermi_dark_BVP
