x_um,E_CB_eV,E_VB_eV,E_Fn_eV,E_Fp_eV,n_cm3,p_cm3,Jn_mA_cm2,Jp_mA_cm2,Jtotal_mA_cm2
0.0,0.9552120108495785,-2.2447879891504217,1.1102230246251565e-16,4.440892098500626e-16,4285.741459418562,1.467077351937122e-18,-1.5589700224067555e-28,3.706598859580388e-52,-1.5589700224067555e-28
0.0005555555555555556,0.9496813504570052,-2.250318649542995,1.1102230246251565e-16,8.881784197001252e-16,5315.124967849955,1.1829475824938503e-18,-1.5589700223361924e-28,3.860000490070522e-52,-1.5589700223361924e-28
0.0011111111111111111,0.944169306451448,-2.2558306935485524,2.220446049250313e-16,-0.0,6586.9794656562,9.54536789457665e-19,-1.5589700223662694e-28,7.936479125480526e-53,-1.5589700223662694e-28
0.0016666666666666666,0.9386758788329069,-2.2613241211670934,2.220446049250313e-16,-0.0,8157.262856284666,7.707872532913199e-19,-1.558970022179477e-28,1.1260717257802154e-53,-1.558970022179477e-28
0.0022222222222222222,0.933201067601382,-2.2667989323986184,2.220446049250313e-16,-4.440892098500626e-16,10094.572289768092,6.228608851257729e-19,-1.5589700221939065e-28,5.775080136652322e-53,-1.5589700221939065e-28
0.0027777777777777775,0.9277448727568733,-2.2722551272431266,2.220446049250313e-16,4.440892098500626e-16,12482.934905515083,5.036887782370039e-19,-1.5589700223328907e-28,1.3370030404555254e-52,-1.5589700223328907e-28
0.003333333333333333,0.9223072942993809,-2.2776927057006193,2.220446049250313e-16,4.440892098500626e-16,15425.200119291881,4.076131384193416e-19,-1.5589700224495442e-28,-2.3851314529441876e-54,-1.5589700224495442e-28
0.0038888888888888883,0.9168883322289045,-2.2831116677710956,2.220446049250313e-16,4.440892098500626e-16,19047.15983720359,3.301024554374752e-19,-1.5589700227147586e-28,4.682868239580718e-53,-1.5589700227147586e-28
0.0044444444444444444,0.9114879865454444,-2.2885120134545556,2.220446049250313e-16,4.440892098500626e-16,23502.54881379141,2.675247812986743e-19,-1.5589700232142253e-28,4.676442680316237e-53,-1.5589700232142253e-28
0.005,0.9061062572490004,-2.293893742751,2.220446049250313e-16,4.440892098500626e-16,28979.10833278061,2.169671391945005e-19,-1.5589700235047457e-28,6.597311600719794e-53,-1.5589700235047457e-28
0.005555555555555555,0.9007431443395726,-2.2992568556604276,1.1102230246251565e-16,4.440892098500626e-16,35705.933462949186,1.7609157979010067e-19,-1.5589700226933854e-28,1.3040451751068959e-54,-1.5589700226933854e-28
0.0061111111111111106,0.8953986478171609,-2.3046013521828392,-0.0,4.440892098500626e-16,43962.36849628983,1.4302037052215628e-19,-1.5589700231411067e-28,-1.9937023605090947e-53,-1.5589700231411067e-28
0.006666666666666666,0.8900727676817657,-2.3099272323182345,2.220446049250313e-16,8.881784197001252e-16,54088.76819485,1.1624435980351115e-19,-1.558970022727729e-28,-2.141043102539607e-53,-1.558970022727729e-28
0.007222222222222222,0.8847655039333864,-2.315234496066614,2.220446049250313e-16,4.440892098500626e-16,66499.50579376343,9.454978884911734e-20,-1.5589700224548346e-28,-4.390980643960644e-53,-1.5589700224548346e-28
0.007777777777777777,0.8794768565720232,-2.3205231434279767,2.220446049250313e-16,4.440892098500626e-16,81698.68426682762,7.695979791836099e-20,-1.5589700225308796e-28,-3.084400065052694e-53,-1.5589700225308796e-28
0.008333333333333333,0.8742068255976765,-2.3257931744023237,3.3306690738754696e-16,4.440892098500626e-16,100299.0974438714,6.268764516938441e-20,-1.5589700220800256e-28,-1.7415271416099024e-53,-1.5589700220800256e-28
0.008888888888888889,0.8689554110103457,-2.3310445889896547,1.1102230246251565e-16,-0.0,123045.09487398624,5.109926761249748e-20,-1.5589700223707257e-28,-1.6421342173789816e-53,-1.5589700223707257e-28
0.009444444444444443,0.8637226128100312,-2.336277387189969,2.220446049250313e-16,4.440892098500626e-16,150840.1320358091,4.168329838028966e-20,-1.5589700229864605e-28,-1.6361969763222746e-53,-1.5589700229864605e-28
0.01,0.8585084309967328,-2.341491569003267,1.1102230246251565e-16,4.440892098500626e-16,184779.93935116506,3.4027039155055874e-20,-1.5589700235262212e-28,-3.388557089792729e-54,-1.5589700235262212e-28
0.010555555555555556,0.8533128655704507,-2.3466871344295495,2.220446049250313e-16,4.440892098500626e-16,226192.42386864242,2.779719198297426e-20,-1.5589700238031597e-28,-5.644657010406692e-55,-1.5589700238031597e-28
0.01111111111111111,0.8481359165311846,-2.351864083468816,2.220446049250313e-16,-0.0,276685.631629643,2.2724397339819443e-20,-1.558970023697643e-28,-1.1275681395080801e-53,-1.558970023697643e-28
0.011666666666666667,0.8429775838789348,-2.3570224161210653,1.1102230246251565e-16,-0.0,338205.3526949002,1.859081821523708e-20,-1.5589700236692848e-28,-1.0064753002396674e-53,-1.5589700236692848e-28
0.012222222222222221,0.837837867613701,-2.362162132386299,1.1102230246251565e-16,4.440892098500626e-16,413104.2517319273,1.5220163445451722e-20,-1.5589700225976316e-28,-5.724971420271306e-54,-1.5589700225976316e-28
0.012777777777777779,0.8327167677354836,-2.3672832322645165,-0.0,-0.0,504224.76330904424,1.2469665690570922e-20,-1.5589700214673759e-28,9.735438531197656e-56,-1.5589700214673759e-28
0.013333333333333332,0.8276142842442824,-2.3723857157557178,-0.0,-0.0,614998.4124053676,1.0223626768042225e-20,-1.5589700203654802e-28,-2.0098299040471577e-55,-1.5589700203654802e-28
0.013888888888888886,0.8225304171400973,-2.377469582859903,1.1102230246251565e-16,-4.440892098500626e-16,749564.7185871744,8.388220623860371e-21,-1.5589700206711637e-28,-4.466318315448017e-54,-1.5589700206711637e-28
0.014444444444444444,0.8174651664229283,-2.382534833577072,1.1102230246251565e-16,-0.0,912913.4302109932,6.887306094201934e-21,-1.558970019364669e-28,-1.839517374053682e-54,-1.558970019364669e-28
0.015,0.8124185320927755,-2.387581467907225,1.1102230246251565e-16,-0.0,1111054.5285268538,5.659050991590463e-21,-1.5589700189952237e-28,-2.2573792667296167e-54,-1.5589700189952237e-28
0.015555555555555553,0.8073905141496389,-2.392609485850361,3.3306690738754696e-16,4.440892098500626e-16,1351221.2589063495,4.65320848819382e-21,-1.5589700191021442e-28,-2.2820153693074662e-54,-1.5589700191021442e-28
0.016111111111111107,0.8023811125935184,-2.3976188874064817,2.220446049250313e-16,4.440892098500626e-16,1642112.4088566417,3.828918286872234e-21,-1.5589700180145303e-28,-1.7380913739457144e-54,-1.5589700180145303e-28
0.016666666666666666,0.7973903274244141,-2.4026096725755863,2.220446049250313e-16,-4.440892098500626e-16,1994181.184735429,3.1529302750919322e-21,-1.5589700187043617e-28,-1.0033131066509063e-54,-1.5589700187043617e-28
0.017222222222222222,0.7924181586423259,-2.407581841357674,1.1102230246251565e-16,8.881784197001252e-16,2419979.3699127785,2.598168525543038e-21,-1.5589700183796806e-28,-1.9900826010485867e-54,-1.5589700183796806e-28
0.017777777777777778,0.7874646062472539,-2.412535393752746,2.220446049250313e-16,4.440892098500626e-16,2934567.0099441865,2.142569656806218e-21,-1.5589700173178166e-28,-9.688948131873853e-55,-1.5589700173178166e-28
0.018333333333333333,0.782529670239198,-2.4174703297608024,2.220446049250313e-16,-0.0,3555999.703897669,1.7681425070084597e-21,-1.5589700198130016e-28,-6.487094652495704e-55,-1.5589700198130016e-28
0.018888888888888886,0.7776133506181582,-2.422386649381842,2.220446049250313e-16,4.440892098500626e-16,4305907.7302680975,1.4602064478003725e-21,-1.558970018931185e-28,-8.177016620164145e-55,-1.558970018931185e-28
0.019444444444444445,0.7727156473841343,-2.4272843526158656,1.1102230246251565e-16,4.440892098500626e-16,5210183.7529741535,1.2067739890712665e-21,-1.5589700188480905e-28,-2.004315057104152e-55,-1.5589700188480905e-28
0.02,0.7678365605371268,-2.4321634394628733,2.220446049250313e-16,4.440892098500626e-16,6299798.798001461,9.980500065122022e-22,-1.558970019478839e-28,-2.826889564607381e-57,-1.558970019478839e-28
0.020555555555555556,0.7629760900771352,-2.437023909922865,2.220446049250313e-16,-0.0,7611769.633945933,8.2602529158670425e-22,-1.5589700174963294e-28,2.005478930166159e-55,-1.5589700174963294e-28
0.021111111111111112,0.7581342360041596,-2.4418657639958408,2.220446049250313e-16,-0.0,9190304.710404087,6.841464379579351e-22,-1.5589700179339166e-28,-6.590091268242299e-56,-1.5589700179339166e-28
0.021666666666666664,0.7533109983182,-2.4466890016818,1.1102230246251565e-16,-0.0,11088160.499561258,5.670475487453304e-22,-1.5589700170871245e-28,-4.6321505049272345e-56,-1.5589700170871245e-28
0.02222222222222222,0.7485063770192566,-2.4514936229807436,2.220446049250313e-16,4.440892098500626e-16,13368245.555263573,4.703320421052064e-22,-1.558970016668796e-28,-2.5000490773057254e-55,-1.558970016668796e-28
0.02277777777777778,0.7437203721073289,-2.4562796278926715,1.1102230246251565e-16,-4.440892098500626e-16,16105515.973275665,3.9039508214478074e-22,-1.5589700159251265e-28,-2.446688544690411e-55,-1.5589700159251265e-28
0.023333333333333334,0.7389529835824172,-2.461047016417583,2.220446049250313e-16,4.440892098500626e-16,19389213.347681932,3.242789750478762e-22,-1.55897001756076e-28,-1.1919924663160173e-55,-1.55897001756076e-28
0.02388888888888889,0.7342042114445213,-2.4657957885554787,1.1102230246251565e-16,4.440892098500626e-16,23325504.933851086,2.6955533220831793e-22,-1.5589700179979728e-28,-3.931671783291279e-56,-1.5589700179979728e-28
0.024444444444444442,0.7294740556936412,-2.4705259443063587,2.220446049250313e-16,8.881784197001252e-16,28040595.734336354,2.242289818283609e-22,-1.5589700164272342e-28,-7.537155937829823e-56,-1.5589700164272342e-28
0.024999999999999998,0.7247625163297766,-2.475237483670224,2.220446049250313e-16,-4.440892098500626e-16,33684393.83402199,1.8665956295228032e-22,-1.558970019577033e-28,-9.103349987594617e-56,-1.558970019577033e-28
0.025555555555555557,0.7200695933529278,-2.4799304066470724,2.220446049250313e-16,-0.0,40434823.7691916,1.5549750549825858e-22,-1.5589700204423222e-28,-8.99813563740638e-56,-1.5589700204423222e-28
0.026111111111111113,0.7153952867630942,-2.484604713236906,2.220446049250313e-16,4.440892098500626e-16,48502898.30150735,1.2963172205269155e-22,-1.5589700181531247e-28,-2.979909142464914e-56,-1.5589700181531247e-28
0.026666666666666665,0.710739596560276,-2.489260403439724,2.220446049250313e-16,-0.0,58138677.00149588,1.0814684054831924e-22,-1.5589700188638212e-28,-3.1146289475710326e-56,-1.5589700188638212e-28
0.02722222222222222,0.7061025227444728,-2.493897477255527,2.220446049250313e-16,4.440892098500626e-16,69638260.89144102,9.028821442242149e-23,-1.5589700186120513e-28,8.237080218077416e-57,-1.5589700186120513e-28
0.027777777777777773,0.7014840653156844,-2.498515934684316,1.1102230246251565e-16,4.440892098500626e-16,83351996.46992171,7.543327691784499e-23,-1.55897001891958e-28,-1.3378817628008237e-56,-1.55897001891958e-28
0.02833333333333333,0.6968842242739108,-2.5031157757260893,2.220446049250313e-16,4.440892098500626e-16,99694090.2125786,6.306807372396876e-23,-1.5589700167892876e-28,-2.3151083335076435e-56,-1.5589700167892876e-28
0.028888888888888888,0.6923029996191515,-2.5076970003808485,2.220446049250313e-16,4.440892098500626e-16,119153866.65386547,5.2768025142111325e-23,-1.5589700183457513e-28,-2.506366975346473e-56,-1.5589700183457513e-28
0.029444444444444443,0.6877403913514062,-2.512259608648594,2.220446049250313e-16,4.440892098500626e-16,142308940.01359788,4.418214506249645e-23,-1.5589700198537399e-28,-2.7563552091093006e-56,-1.5589700198537399e-28
0.03,0.6831963994706742,-2.516803600529326,1.1102230246251565e-16,-0.0,169840611.7334111,3.702008705220672e-23,-1.5589700227248666e-28,-1.4533371279470721e-56,-1.5589700227248666e-28
0.030555555555555555,0.6786710239769554,-2.5213289760230446,2.220446049250313e-16,8.881784197001252e-16,202551855.01762354,3.1041504067310755e-23,-1.5589700224971215e-28,4.7900595027522143e-57,-1.5589700224971215e-28
0.031111111111111107,0.674164264870249,-2.525835735129751,2.220446049250313e-16,4.440892098500626e-16,241388303.4202206,2.6047302799196832e-23,-1.5589700178110588e-28,2.0400735749023998e-56,-1.5589700178110588e-28
0.03166666666666666,0.6696761221505542,-2.530323877849446,1.1102230246251565e-16,4.440892098500626e-16,287462724.6907525,2.1872450552101586e-23,-1.5589700211373365e-28,1.5759356260692603e-56,-1.5589700211373365e-28
0.032222222222222215,0.6652065958178703,-2.53479340418213,2.220446049250313e-16,4.440892098500626e-16,342083534.6232626,1.838005514733515e-23,-1.5589700178072314e-28,8.365655348672567e-57,-1.5589700178072314e-28
0.03277777777777778,0.6607556858721961,-2.539244314127804,2.220446049250313e-16,4.440892098500626e-16,406787989.8258363,1.545648934734507e-23,-1.5589700198094927e-28,5.492349779598055e-57,-1.5589700198094927e-28
0.03333333333333333,0.6563233923135305,-2.5436766076864696,1.1102230246251565e-16,4.440892098500626e-16,483380794.5884747,1.300737286578342e-23,-1.5589700174860573e-28,4.794241943870675e-57,-1.5589700174860573e-28
0.03388888888888889,0.6519097151418721,-2.548090284858128,2.220446049250313e-16,4.440892098500626e-16,573978966.9994162,1.0954258941299002e-23,-1.5589700179440364e-28,5.698499975033335e-57,-1.5589700179440364e-28
0.034444444444444444,0.6475146543572192,-2.552485345642781,1.1102230246251565e-16,4.440892098500626e-16,681063934.9719907,9.231900132297466e-24,-1.558970020362738e-28,8.154613769221135e-58,-1.558970020362738e-28
0.035,0.6431382099595697,-2.5568617900404305,1.1102230246251565e-16,4.440892098500626e-16,807541975.9472243,7.785990596954182e-24,-1.5589700197466249e-28,4.470336596682069e-58,-1.5589700197466249e-28
0.035555555555555556,0.6387803819489215,-2.5612196180510787,2.220446049250313e-16,4.440892098500626e-16,956814277.0317148,6.571300598561793e-24,-1.5589700157621928e-28,6.23843247898738e-59,-1.5589700157621928e-28
0.03611111111111111,0.6344411703252715,-2.5655588296747287,2.220446049250313e-16,4.440892098500626e-16,1132858077.7921624,5.5501340853081505e-24,-1.5589700164573054e-28,1.4292862114422788e-57,-1.5589700164573054e-28
0.03666666666666667,0.6301205750886164,-2.5698794249113837,2.220446049250313e-16,4.440892098500626e-16,1340320568.737929,4.691052557144177e-24,-1.5589700163400956e-28,2.406027936872533e-58,-1.5589700163400956e-28
0.03722222222222222,0.6258185962389526,-2.5741814037610475,2.220446049250313e-16,4.440892098500626e-16,1584627457.8998978,3.967818555727779e-24,-1.558970018797611e-28,8.956158721665981e-58,-1.558970018797611e-28
0.03777777777777777,0.6215352337762754,-2.578464766223725,2.220446049250313e-16,-0.0,1872108389.4473913,3.358520407692326e-24,-1.55897001904893e-28,-2.015219138414637e-58,-1.55897001904893e-28
0.03833333333333332,0.6172704877005795,-2.5827295122994207,2.220446049250313e-16,-0.0,2210141705.9747167,2.8448466514042423e-24,-1.5589700227516327e-28,-8.472426527969183e-59,-1.5589700227516327e-28
0.03888888888888889,0.6130243580118585,-2.5869756419881416,1.1102230246251565e-16,4.440892098500626e-16,2607321394.3855534,2.411484155697151e-24,-1.558970021958879e-28,-1.014575925651572e-58,-1.558970021958879e-28
0.03944444444444444,0.6087968447101051,-2.591203155289895,2.220446049250313e-16,8.881784197001252e-16,3073649449.150548,2.0456185181132435e-24,-1.5589700178103671e-28,-6.633324393834632e-60,-1.5589700178103671e-28
0.04,0.6045879477953104,-2.59541205220469,2.220446049250313e-16,4.440892098500626e-16,3620757331.5983763,1.736519091323726e-24,-1.5589700150225181e-28,1.0614637611365814e-59,-1.5589700150225181e-28
0.04055555555555555,0.6003976672674645,-2.5996023327325357,3.3306690738754696e-16,4.440892098500626e-16,4262160705.9019904,1.4751940776574515e-24,-1.5589700147611446e-28,-8.76859341320232e-59,-1.5589700147611446e-28
0.04111111111111111,0.596226003126555,-2.603773996873445,1.1102230246251565e-16,4.440892098500626e-16,5013552198.2654,1.254103673947251e-24,-1.5589700131284848e-28,2.3314318687259475e-58,-1.5589700131284848e-28
0.041666666666666664,0.5920729553725683,-2.6079270446274316,1.1102230246251565e-16,4.440892098500626e-16,5893137562.936331,1.0669213410043226e-24,-1.5589700129472882e-28,2.595629257722794e-58,-1.5589700129472882e-28
0.042222222222222223,0.587938524005488,-2.612061475994512,2.220446049250313e-16,4.440892098500626e-16,6922021355.264023,9.083349947468006e-25,-1.558970013015433e-28,3.646316240516189e-58,-1.558970013015433e-28
0.042777777777777776,0.5838227090252945,-2.6161772909747056,2.220446049250313e-16,4.440892098500626e-16,8124649017.124536,7.738813354421322e-25,-1.5589700136929487e-28,1.9006917313549432e-58,-1.5589700136929487e-28
0.04333333333333333,0.5797255104319657,-2.6202744895680343,1.1102230246251565e-16,4.440892098500626e-16,9529313183.585032,6.598077017976173e-25,-1.5589700147365965e-28,2.576971767512889e-58,-1.5589700147365965e-28
0.04388888888888888,0.5756469282254755,-2.6243530717745247,3.3306690738754696e-16,4.440892098500626e-16,11168733032.587503,5.6295680208539605e-25,-1.5589700117380436e-28,2.5952291281322934e-58,-1.5589700117380436e-28
0.04444444444444444,0.5715869624057928,-2.6284130375942074,1.1102230246251565e-16,-0.0,13080716633.671337,4.806704714622595e-25,-1.5589700114390099e-28,3.989629047444697e-58,-1.5589700114390099e-28
0.045,0.5675456129728825,-2.6324543870271175,1.1102230246251565e-16,4.440892098500626e-16,15308917520.427517,4.1070926294959683e-25,-1.5589700083028088e-28,2.7095157533313667e-58,-1.5589700083028088e-28
0.04555555555555556,0.5635228799267028,-2.6364771200732973,2.220446049250313e-16,4.440892098500626e-16,17903698128.80975,3.511852236412218e-25,-1.5589700062444976e-28,3.765340587547745e-58,-1.5589700062444976e-28
0.04611111111111111,0.5595187632672053,-2.640481236732795,2.220446049250313e-16,4.440892098500626e-16,20923114325.253532,3.00505657696575e-25,-1.5589700029510612e-28,1.5502225170781638e-58,-1.5589700029510612e-28
0.04666666666666667,0.5555332629943336,-2.6444667370056667,1.1102230246251565e-16,-0.0,24434037011.805252,2.573260500642271e-25,-1.5589700010351028e-28,2.0012592021826754e-58,-1.5589700010351028e-28
0.04722222222222222,0.5515663791080225,-2.6484336208919776,2.220446049250313e-16,-0.0,28513428758.660717,2.205106332384256e-25,-1.558969999374083e-28,1.4209178268450366e-58,-1.558969999374083e-28
0.04777777777777778,0.5476181116081956,-2.6523818883918047,2.220446049250313e-16,-0.0,33249795597.76957,1.8909933484802355e-25,-1.5589700005144285e-28,6.291610233606648e-59,-1.5589700005144285e-28
0.04833333333333333,0.5436884604947648,-2.6563115395052352,2.220446049250313e-16,4.440892098500626e-16,38744836536.26765,1.6228005570459504e-25,-1.5589700009860623e-28,7.71189030477836e-59,-1.5589700009860623e-28
0.048888888888888885,0.5397774257676276,-2.660222574232373,2.220446049250313e-16,-0.0,45115316039.02576,1.3936540366761732e-25,-1.5589700049256876e-28,8.904290307789224e-59,-1.5589700049256876e-28
0.04944444444444444,0.535885007426665,-2.664114992573335,2.220446049250313e-16,4.440892098500626e-16,52495187710.996475,1.1977315456010614e-25,-1.558970004271495e-28,1.1500337652836406e-58,-1.558970004271495e-28
0.049999999999999996,0.5320112054717395,-2.6679887945282608,2.220446049250313e-16,8.881784197001252e-16,61038000709.72197,1.0300983253485538e-25,-1.558970008102809e-28,1.0354490058135108e-58,-1.558970008102809e-28
0.05055555555555555,0.5281560199026919,-2.671843980097308,2.220446049250313e-16,4.440892098500626e-16,70919624065.79337,8.865690299680517e-26,-1.5589700095488331e-28,8.536990705108834e-59,-1.5589700095488331e-28
0.051111111111111114,0.5243194507193377,-2.6756805492806626,1.1102230246251565e-16,-0.0,82341328115.88771,7.635915493762621e-26,-1.5589700097156296e-28,6.910470533265614e-59,-1.5589700097156296e-28
0.051666666666666666,0.5205014979214642,-2.679498502078536,1.1102230246251565e-16,4.440892098500626e-16,95533266693.06311,6.581491923197815e-26,-1.5589700093051188e-28,6.299549104299218e-59,-1.5589700093051188e-28
0.052222222222222225,0.5167021615088251,-2.683297838491175,2.220446049250313e-16,-0.0,110758408608.48598,5.676782747571196e-26,-1.5589700098440481e-28,4.274642165063557e-59,-1.5589700098440481e-28
0.05277777777777778,0.5129214414811367,-2.6870785585188637,1.1102230246251565e-16,-0.0,128316972336.16426,4.89998642961975e-26,-1.5589700072011302e-28,4.471657283413764e-59,-1.5589700072011302e-28
0.05333333333333333,0.5091593378380717,-2.6908406621619285,2.220446049250313e-16,4.440892098500626e-16,148551423718.6107,4.2325506373340824e-26,-1.5589700098318086e-28,3.3146243272580522e-59,-1.5589700098318086e-28
0.05388888888888889,0.5054158505792524,-2.6945841494207476,2.220446049250313e-16,-0.0,171852102989.99048,3.658677503491033e-26,-1.5589700147280201e-28,2.864943991265959e-59,-1.5589700147280201e-28
0.05444444444444444,0.5016909797042446,-2.6983090202957554,1.1102230246251565e-16,4.440892098500626e-16,198663554510.22684,3.1649057356654105e-26,-1.5589700105649996e-28,1.4190943113688022e-59,-1.5589700105649996e-28
0.05499999999999999,0.49798472521254844,-2.7020152747874517,2.220446049250313e-16,-0.0,229491640367.06863,2.739757413958181e-26,-1.5589700080715852e-28,1.7953284042562375e-59,-1.5589700080715852e-28
0.055555555555555546,0.49429708710358905,-2.705702912896411,1.6653345369377348e-16,4.440892098500626e-16,264911527484.1892,2.3734392727572972e-26,-1.558970005491864e-28,1.1755054888341504e-59,-1.558970005491864e-28
0.056111111111111105,0.49062806537670595,-2.7093719346232943,1.6653345369377348e-16,4.440892098500626e-16,305576647125.2994,2.057589901100265e-26,-1.558970009727607e-28,1.4843564779133189e-59,-1.558970009727607e-28
0.05666666666666666,0.48697766003114107,-2.713022339968859,1.1102230246251565e-16,4.440892098500626e-16,352228735762.56537,1.7850656669901355e-26,-1.5589700084628833e-28,5.699752630623362e-60,-1.5589700084628833e-28
0.05722222222222222,0.48334587106602456,-2.7166541289339756,1.1102230246251565e-16,-0.0,405709077240.4418,1.5497593187062743e-26,-1.5589700086454247e-28,5.686154111095652e-60,-1.5589700086454247e-28
0.057777777777777775,0.47973269848035927,-2.720267301519641,2.220446049250313e-16,4.440892098500626e-16,466971078073.02454,1.3464461776340906e-26,-1.5589700011423652e-28,4.569175968339267e-60,-1.5589700011423652e-28
0.058333333333333334,0.4761381422730032,-2.723861857726997,1.6653345369377348e-16,4.440892098500626e-16,537094320626.42957,1.1706536431138679e-26,-1.5589699970957235e-28,9.021740484584371e-60,-1.5589699970957235e-28
