thickness_nm,thickness_um,alpha_L,absorbed_fraction,J_OWS_mA_cm2,U_H_V_vs_RHE,U_O_V_vs_RHE,contact_separation_V,eta_H_V,eta_O_V,Jgen_mA_cm2,utilization_percent,SRH_mA_cm2,counterflow_mA_cm2,band_bending_H_V,band_bending_O_V,QFL_center_split_V,BVP_residual,current_budget_residual_A_m2,status,source
49.99999999999999,0.0499999999999999,0.0499999999999999,0.0487705754992859,0.1335033946785025,-0.212558170937834,1.554019692357284,1.766577863295118,-0.212558170937834,0.3250196923572839,0.1435768451318438,92.98393104814988,4.194434342115468e-07,0.0100730310098754,-0.0562805053630354,0.0937194946369646,2.1562573445728326,1.045466172689127e-09,3.155253835984695e-13,ok,refined
53.98875811638549,0.0539887581163854,0.0539887581163854,0.0525572425168593,0.1426097164805334,-0.215423135416159,1.5551659646588183,1.7705891000749774,-0.215423135416159,0.3261659646588182,0.1547245032921611,92.17009164427444,5.273186267190952e-07,0.0121142594929631,-0.0531798567250635,0.0968201432749364,2.163756231626007,1.206646629588444e-09,3.788080960021034e-13,ok,refined
58.29572005899158,0.0582957200589915,0.0582957200589915,0.0566290675241312,0.15203558293847,-0.2182021142948836,1.5562778097455012,1.7744799240403848,-0.2182021142948836,0.3272778097455011,0.1667116447701534,91.19673862499684,6.661056689259326e-07,0.0146753957259695,-0.0495647660808914,0.1004352339191085,2.171654615239895,1.603433786615065e-09,4.489741911584133e-13,ok,refined
62.94627058970836,0.0629462705897083,0.0629462705897083,0.0610060760764097,0.1616823539838716,-0.22087329418621,1.5573465049432904,1.7782197991295003,-0.22087329418621,0.3283465049432903,0.1795972232694362,90.02497423989219,8.451195109725377e-07,0.0179140241660014,-0.0453498802952584,0.1046501197047415,2.1800123168653247,2.13131017784172e-09,5.222489107836736e-13,ok,refined
67.96781954392627,0.0679678195439262,0.0679678195439262,0.0657094610108983,0.1714075694885899,-0.2234095437587661,1.5583611998714078,1.781770743630174,-0.2234095437587661,0.3293611998714076,0.1934436288822715,88.60853700842605,1.0759093785651678e-06,0.0220349834842441,-0.0404356850842142,0.1095643149157857,2.1888969274234538,2.8377961068017406e-09,5.88862292261183e-13,ok,refined
73.38996338110348,0.0733899633811034,0.0733899633811034,0.07076160958328,0.1810185990403192,-0.2257784423616156,1.55930892797722,1.7850873703388357,-0.2257784423616156,0.3303089279772198,0.2083167679775961,86.89583694951875,1.3718540187321092e-06,0.0272967970831947,-0.0347061556286519,0.1152938443713482,2.198384647953844,3.7862492573554075e-09,6.343814362708144e-13,ok,refined
79.24465962305565,0.0792446596230556,0.0792446596230556,0.0761861231610276,0.1902754921065309,-0.2279440486876701,1.5601753141530057,1.788119362840676,-0.2279440486876701,0.3311753141530056,0.224286121176622,84.83605276524972,1.746528013423323e-06,0.0340088825420143,-0.0280260175528057,0.1219739824471942,2.20856238628222,5.058939036270284e-09,6.326050794314142e-13,ok,refined
85.56641520808903,0.085566415208089,0.085566415208089,0.0820078276116617,0.1989143534749222,-0.2298720754912959,1.5609466449015534,1.7908187203928494,-0.2298720754912959,0.3319466449015533,0.2414247739350723,82.39185657409679,2.210017690640283e-06,0.042508210442405,-0.0202375538256378,0.1297624461743621,2.21953292456025,6.7612134307918756e-09,5.442313266712517e-13,ok,refined
92.39248987111452,0.0923924898711145,0.0923924898711145,0.0882527722425645,0.2067053579092057,-0.231540390944527,1.5616140693535263,1.7931544602980534,-0.231540390944527,0.3326140693535262,0.2598094134220762,79.56038050607516,2.762940586310174e-06,0.0531012925722527,-0.0111568827578575,0.1388431172421425,2.2314260640483545,9.025920707063436e-09,3.144151605738444e-13,ok,refined
99.76311574844397,0.0997631157484439,0.0997631157484439,0.0949482148403937,0.2135514419080431,-0.2329552696193998,1.5621801003299978,1.7951353699493977,-0.2329552696193998,0.3331801003299977,0.2795202844773449,76.39926465707052,3.3901321573980123e-06,0.065965452437157,-0.0005696207096597,0.1494303792903403,2.244418818439363,1.20255543247314e-08,-1.2656542480726785e-13,ok,refined
107.72173450159414,0.1077217345015941,0.1077217345015941,0.102122590023428,0.219603137370859,-0.2341687090454025,1.562665541617675,1.7968342506630772,-0.2341687090454025,0.3336655416176746,0.3006410964428986,73.04494959908742,4.059353079415021e-06,0.0810338997190464,0.0117741686352201,0.1617741686352202,2.2587644450525546,1.600265996129752e-08,-8.637535131583718e-13,ok,refined
116.31525335768129,0.1163152533576812,0.1163152533576812,0.1098054577614561,0.225317891745854,-0.2352842775291606,1.563111827159874,1.7983961046890349,-0.2352842775291606,0.334111827159874,0.323258871609555,69.7019978520503,4.730586967097733e-06,0.0979362492769345,0.0261658445196562,0.1761658445196562,2.274821047402241,2.1324319843272666e-08,-2.006395050102583e-12,ok,refined
125.594321575479,0.125594321575479,0.125594321575479,0.1180274285388207,0.2313796510548104,-0.2364370806255515,1.5635730064709543,1.800010087096506,-0.2364370806255515,0.3345730064709542,0.3474637249026541,66.59102360099146,5.373527694262832e-06,0.1160787003205194,0.0429449731281784,0.1929449731281785,2.2930599100380507,2.8563334707130212e-08,-3.700595385680572e-12,ok,refined
135.6136289666014,0.1356136289666014,0.1356136289666014,0.126820061242882,0.2384784910528013,-0.2377493266840225,1.564097968603328,1.8018472952873503,-0.2377493266840225,0.3350979686033279,0.3733485632735008,63.87556147580543,5.98062646152103e-06,0.1348640915948544,0.0625070203052273,0.2125070203052274,2.314037513406296,3.8582332192241513e-08,-6.164402321928719e-12,ok,refined
146.4322282312618,0.1464322282312618,0.1464322282312618,0.1362157294610563,0.2470831446501052,-0.2392885381291544,1.5647137248003071,1.8040022629294612,-0.2392885381291544,0.335713724800307,0.4010086920880714,61.61540872431754,6.565403559686345e-06,0.1539189820353775,0.0853114443250945,0.2353114443250947,2.338344063480901,5.2617808218165565e-08,-9.710454662581468e-12,ok,refined
158.11388300841892,0.1581138830084189,0.1581138830084189,0.1462474514767029,0.2573607442053601,-0.2410582604906896,1.5654216921495052,1.806479952640195,-0.2410582604906896,0.3364216921495051,0.4305413146479034,59.77608546483621,7.149960560039841e-06,0.1731734204834609,0.1118870943589792,0.2618870943589793,2.3665681908332505,7.236228613804902e-08,-1.4776624368550983e-11,ok,refined
170.72744369168004,0.17072744369168,0.17072744369168,0.1569486788835795,0.2692654807424771,-0.2430218923970459,1.5662072272543457,1.809229119651392,-0.2430218923970459,0.3372072272543456,0.4620449098872144,58.27690663407699,7.75409447429778e-06,0.1927716750524581,0.142816961868158,0.2928169618681583,2.3992912877696773,1.0010456819890981e-07,-2.1951329642888595e-11,ok,refined
184.3472532259788,0.1843472532259787,0.1843472532259787,0.1683530384114123,0.2826958078967759,-0.2451355523398893,1.567052774734936,1.8121883270748251,-0.2451355523398893,0.338052774734936,0.4956184723271223,57.03899747106048,8.396572471273896e-06,0.2129142678610748,0.1785869517329561,0.3285869517329559,2.436996436319572,1.388469982867767e-07,-3.199662756969701e-11,ok,refined
199.05358527674855,0.1990535852767485,0.1990535852767485,0.1804940212983184,0.2976516789968207,-0.2473742415982086,1.567948333466503,1.8153225750647115,-0.2473742415982086,0.3389483334665029,0.5313605976118077,56.01688953501856,9.131769438545067e-06,0.2336997868501197,0.2185365272630204,0.3685365272630204,2.479187078869403,1.9194802392533754e-07,-4.5713210994335896e-11,ok,refined
214.9331173541138,0.2149331173541137,0.2149331173541137,0.1934046143931507,0.3144300116019763,-0.249755600517566,1.5689009596689638,1.8186565601865297,-0.249755600517566,0.3399009596689637,0.5693683965020242,55.22435272728709,1.0200286340787368e-05,0.2549281846200039,0.2564360784094593,0.4064360784094594,2.5204605845084807,2.601181624551904e-07,-6.296874133226993e-11,ok,refined
232.0794416806389,0.2320794416806389,0.2320794416806389,0.2071168671639404,0.3333283374303083,-0.2522902199878276,1.569914889446098,1.8222051094339256,-0.2522902199878276,0.340914889446098,0.6097362201810619,54.66762944332323,1.204949830824001e-05,0.2763958332606706,0.2818914060598209,0.4318914060598209,2.551500672555319,2.994292208590088e-07,-8.22533152700089e-11,ok,refined
250.59361681363603,0.250593616813636,0.250593616813636,0.2216613889777778,0.3540304422168376,-0.2549068604151317,1.570961624302328,1.82586848471746,-0.2549068604151317,0.3419616243023278,0.6525541802851544,54.2530341407257,1.4937847320538278e-05,0.2985088002313782,0.2958200983844141,0.4458200983844141,2.572819423738808,2.98080811051448e-07,-1.0381961956795748e-10,ok,refined
270.5847632732318,0.2705847632732318,0.2705847632732318,0.2370667714623319,0.3762173822445301,-0.2575465010661309,1.572017554289577,1.829564055355708,-0.2575465010661309,0.3430175542895768,0.6979064483799613,53.90656342520367,1.9126573147572333e-05,0.3216699395752008,0.3033251018476749,0.4533251018476749,2.588757929459903,2.9876670010475697e-07,-1.2917178437987786e-10,ok,refined
292.1707066867587,0.2921707066867587,0.2921707066867587,0.2533589315291075,0.3997735910719042,-0.2601838543736277,1.5730725640544756,1.8332564184281035,-0.2601838543736277,0.3440725640544755,0.7458693218712715,53.59834214241896,2.509672008358046e-05,0.3460706340952624,0.3072516203549241,0.4572516203549241,2.6017119707060936,2.995629556479856e-07,-1.5978818268536088e-10,ok,refined
