thickness_nm,thickness_um,alpha_L,absorbed_fraction,J_OWS_mA_cm2,U_H_V_vs_RHE,U_O_V_vs_RHE,contact_separation_V,eta_H_V,eta_O_V,Jgen_mA_cm2,utilization_percent,SRH_mA_cm2,counterflow_mA_cm2,band_bending_H_V,band_bending_O_V,QFL_center_split_V,BVP_residual,current_budget_residual_A_m2,status
10.0,0.01,0.01,0.009950166250831893,0.028794257327369843,-0.1460129000028129,1.5273722352606427,1.6733851352634557,-0.1460129000028129,0.2983722352606426,0.02929252862420507,98.29898161668605,6.882371227764902e-09,0.0004982644144635759,-0.07422122022989963,0.07577877977010017,2.039715713726107,6.890633925776024e-10,4.218847493575595e-15,ok
12.589254117941675,0.012589254117941675,0.012589254117941675,0.01251034095804815,0.03610488654227827,-0.15581385844027432,1.5313026393834008,1.6871164978236752,-0.15581385844027432,0.30230263938340074,0.036829487203950226,98.0325529441685,1.181863926428991e-08,0.0007245888430319125,-0.07378399515234213,0.07621600484765789,2.0539764563179475,7.520604332915327e-10,7.771561172376096e-15,ok
15.848931924611133,0.015848931924611134,0.015848931924611134,0.015723998494309055,0.045222526794838486,-0.16557586919205863,1.5352141929903416,1.7007900621824001,-0.16557586919205863,0.30621419299034147,0.04629024926523183,97.69341818775796,2.0520734751060075e-08,0.0010677019496571514,-0.07309104009875711,0.07690895990124291,2.0687409203493115,8.159290285138318e-10,1.4377388168895777e-14,ok
19.952623149688797,0.019952623149688795,0.019952623149688795,0.0197548868673465,0.05656091433713145,-0.17528054533915552,1.539100656857836,1.7143812021969915,-0.17528054533915552,0.31010065685783594,0.05815687642217032,97.25576374932258,3.607293226527051e-08,0.001595926012103937,-0.07199278034226408,0.07800721965773594,2.0841059282863865,8.792671336983421e-10,2.6756374893466273e-14,ok
25.118864315095795,0.025118864315095794,0.025118864315095794,0.02480601062669674,0.0706007028799723,-0.18490190304824752,1.542952360991294,1.7278542640395416,-0.18490190304824752,0.313952360991294,0.07302699854629051,96.6775360967626,6.43580332220848e-08,0.0024262313082799632,-0.07025215591351774,0.07974784408648228,2.100222732299951,9.397304540725627e-10,5.0182080713057076e-14,ok
31.622776601683793,0.03162277660168379,0.03162277660168379,0.031128005659924574,0.08786742306855719,-0.19439829097903283,1.5467531155927468,1.7411514065717797,-0.19439829097903283,0.31775311559274666,0.09163846852624447,95.88486634670538,1.1704202078852837e-07,0.0037709284156570893,-0.06749345208311797,0.08250654791688206,2.1173388478374155,9.93227211904023e-10,9.403589018575076e-14,ok
39.81071705534973,0.03981071705534973,0.03981071705534973,0.0390286825807612,0.10885220147753567,-0.20369536183209827,1.5504734886735807,1.754168850505679,-0.20369536183209827,0.3214734886735806,0.1148974572727746,94.73856433490337,2.1846932835858456e-07,0.006045037325893033,-0.06312120117375664,0.08687879882624339,2.1358658913553725,1.0326960691410255e-09,1.7541523789077473e-13,ok
50.118723362727245,0.05011872336272724,0.05011872336272724,0.04888350195165114,0.1337792926840757,-0.21264780614383189,1.554055555817092,1.766703361960924,-0.21264780614383189,0.325055555817092,0.14390929197292643,92.96084418874322,4.2238987484521477e-07,0.010129576898944162,-0.056191650752768774,0.09380834924723125,2.1564836117818467,1.0453883183708738e-09,3.170796958329447e-13,ok
63.09573444801932,0.06309573444801932,0.06309573444801932,0.0611464112434309,0.16198254769488102,-0.2209538382634255,1.5573787290142727,1.7783325672776982,-0.2209538382634255,0.32837872901427256,0.18001035927071724,89.98512549562538,8.51410592338914e-07,0.018026960165191445,-0.045209055267452336,0.10479094473254769,2.1802785919996674,2.150165642026921e-09,5.242473122279989e-13,ok
79.43282347242814,0.07943282347242814,0.07943282347242814,0.07635993518311501,0.19055303560773235,-0.22800734033842157,1.5602006348679933,1.7882079752064148,-0.22800734033842157,0.3312006348679932,0.2247978104794815,84.76641084772717,1.7594856982309963e-06,0.03424301538598778,-0.027802825164864542,0.12219717483513548,2.208888920467346,5.104617036698801e-09,6.31272811801864e-13,ok
