thickness_nm,thickness_um,alpha_L,absorbed_fraction,J_OWS_mA_cm2,U_H_V_vs_RHE,U_O_V_vs_RHE,contact_separation_V,eta_H_V,eta_O_V,Jgen_mA_cm2,utilization_percent,SRH_mA_cm2,counterflow_mA_cm2,band_bending_H_V,band_bending_O_V,QFL_center_split_V,BVP_residual,current_budget_residual_A_m2,status
49.99999999999999,0.04999999999999999,0.04999999999999999,0.048770575499285984,0.13350339467850258,-0.212558170937834,1.554019692357284,1.766577863295118,-0.212558170937834,0.3250196923572839,0.1435768451318438,92.98393104814988,4.1944343421154676e-07,0.010073031009875447,-0.056280505363035416,0.0937194946369646,2.1562573445728326,1.045466172689127e-09,3.155253835984695e-13,ok
53.98875811638549,0.05398875811638549,0.05398875811638549,0.05255724251685934,0.1426097164805334,-0.215423135416159,1.5551659646588183,1.7705891000749774,-0.215423135416159,0.3261659646588182,0.15472450329216117,92.17009164427445,5.273186267190952e-07,0.012114259492963185,-0.053179856725063535,0.09682014327493649,2.163756231626007,1.206646629588444e-09,3.788080960021034e-13,ok
58.29572005899158,0.05829572005899158,0.05829572005899158,0.056629067524131216,0.15203558293847003,-0.21820211429488365,1.5562778097455012,1.7744799240403848,-0.21820211429488365,0.32727780974550114,0.1667116447701534,91.19673862499685,6.661056689259326e-07,0.014675395725969556,-0.04956476608089144,0.10043523391910858,2.171654615239895,1.603433786615065e-09,4.489741911584133e-13,ok
62.94627058970836,0.06294627058970836,0.06294627058970836,0.06100607607640973,0.1616823539838716,-0.22087329418621002,1.5573465049432904,1.7782197991295003,-0.22087329418621002,0.3283465049432903,0.17959722326943622,90.02497423989219,8.451195109725377e-07,0.017914024166001435,-0.04534988029525844,0.10465011970474158,2.1800123168653247,2.13131017784172e-09,5.222489107836736e-13,ok
67.96781954392627,0.06796781954392626,0.06796781954392626,0.06570946101089836,0.1714075694885899,-0.22340954375876615,1.5583611998714078,1.781770743630174,-0.22340954375876615,0.32936119987140766,0.1934436288822715,88.60853700842605,1.0759093785651678e-06,0.022034983484244153,-0.040435685084214246,0.10956431491578578,2.1888969274234538,2.8377961068017406e-09,5.88862292261183e-13,ok
73.38996338110348,0.07338996338110348,0.07338996338110348,0.07076160958328004,0.18101859904031922,-0.22577844236161565,1.5593089279772199,1.7850873703388355,-0.22577844236161565,0.3303089279772198,0.20831676797759613,86.89583694951875,1.3718540187321092e-06,0.027296797083194723,-0.03470615562865198,0.11529384437134826,2.198384647953844,3.786249257355407e-09,6.343814362708144e-13,ok
79.24465962305565,0.07924465962305566,0.07924465962305566,0.07618612316102769,0.19027549210653094,-0.22794404868767018,1.5601753141530057,1.788119362840676,-0.22794404868767018,0.3311753141530056,0.224286121176622,84.83605276524972,1.746528013423323e-06,0.03400888254201438,-0.02802601755280576,0.12197398244719426,2.20856238628222,5.058939036270284e-09,6.326050794314142e-13,ok
85.56641520808903,0.08556641520808904,0.08556641520808904,0.0820078276116617,0.19891435347492223,-0.22987207549129593,1.5609466449015534,1.7908187203928494,-0.22987207549129593,0.33194664490155334,0.24142477393507233,82.39185657409679,2.210017690640283e-06,0.04250821044240506,-0.020237553825637855,0.12976244617436217,2.2195329245602506,6.7612134307918756e-09,5.442313266712517e-13,ok
92.39248987111452,0.09239248987111452,0.09239248987111452,0.08825277224256456,0.20670535790920574,-0.23154039094452702,1.5616140693535263,1.7931544602980534,-0.23154039094452702,0.3326140693535262,0.2598094134220762,79.56038050607516,2.762940586310174e-06,0.05310129257225273,-0.011156882757857534,0.1388431172421425,2.2314260640483545,9.025920707063436e-09,3.1441516057384433e-13,ok
99.76311574844397,0.09976311574844396,0.09976311574844396,0.09494821484039373,0.21355144190804315,-0.23295526961939989,1.5621801003299978,1.7951353699493977,-0.23295526961939989,0.3331801003299977,0.2795202844773449,76.39926465707052,3.3901321573980123e-06,0.06596545243715704,-0.0005696207096597128,0.1494303792903403,2.244418818439363,1.20255543247314e-08,-1.2656542480726785e-13,ok
107.72173450159414,0.10772173450159415,0.10772173450159415,0.10212259002342805,0.21960313737085907,-0.23416870904540255,1.5626655416176747,1.7968342506630772,-0.23416870904540255,0.3336655416176746,0.3006410964428986,73.04494959908742,4.059353079415021e-06,0.08103389971904645,0.011774168635220184,0.1617741686352202,2.2587644450525546,1.600265996129752e-08,-8.637535131583718e-13,ok
116.31525335768129,0.11631525335768128,0.11631525335768128,0.10980545776145612,0.22531789174585404,-0.23528427752916067,1.563111827159874,1.7983961046890347,-0.23528427752916067,0.334111827159874,0.323258871609555,69.7019978520503,4.730586967097733e-06,0.09793624927693453,0.0261658445196562,0.17616584451965622,2.274821047402241,2.1324319843272666e-08,-2.006395050102583e-12,ok
125.59432157547901,0.125594321575479,0.125594321575479,0.11802742853882076,0.23137965105481045,-0.23643708062555152,1.5635730064709543,1.800010087096506,-0.23643708062555152,0.3345730064709542,0.3474637249026541,66.59102360099146,5.373527694262832e-06,0.11607870032051941,0.042944973128178465,0.1929449731281785,2.2930599100380507,2.856333470713021e-08,-3.700595385680572e-12,ok
135.6136289666014,0.1356136289666014,0.1356136289666014,0.12682006124288203,0.23847849105280133,-0.23774932668402252,1.564097968603328,1.8018472952873505,-0.23774932668402252,0.33509796860332797,0.3733485632735008,63.875561475805426,5.98062646152103e-06,0.1348640915948544,0.06250702030522737,0.2125070203052274,2.3140375134062956,3.858233219224151e-08,-6.164402321928719e-12,ok
146.4322282312618,0.1464322282312618,0.1464322282312618,0.1362157294610563,0.24708314465010525,-0.2392885381291544,1.5647137248003071,1.8040022629294614,-0.2392885381291544,0.33571372480030703,0.40100869208807144,61.61540872431754,6.565403559686345e-06,0.15391898203537757,0.08531144432509452,0.23531144432509477,2.338344063480901,5.261780821816556e-08,-9.710454662581469e-12,ok
