thickness_um,J_OWS_mA_cm2,contact_separation_V,Jgen_mA_cm2,counterflow_mA_cm2,SRH_mA_cm2
0.01,0.028794257327369843,1.6733851352634557,0.02929252862420507,0.0004982644144635759,6.882371227764902e-09
0.012589254117941675,0.03610488654227827,1.6871164978236752,0.036829487203950226,0.0007245888430319125,1.181863926428991e-08
0.015848931924611134,0.045222526794838486,1.7007900621824001,0.04629024926523183,0.0010677019496571514,2.0520734751060075e-08
0.019952623149688795,0.05656091433713145,1.7143812021969915,0.05815687642217032,0.001595926012103937,3.607293226527051e-08
0.025118864315095794,0.0706007028799723,1.7278542640395416,0.07302699854629051,0.0024262313082799632,6.43580332220848e-08
0.03162277660168379,0.08786742306855719,1.7411514065717797,0.09163846852624447,0.0037709284156570893,1.1704202078852837e-07
0.03981071705534973,0.10885220147753567,1.754168850505679,0.1148974572727746,0.006045037325893033,2.1846932835858456e-07
0.05011872336272724,0.1337792926840757,1.766703361960924,0.14390929197292643,0.010129576898944162,4.2238987484521477e-07
0.06309573444801932,0.16198254769488102,1.7783325672776982,0.18001035927071724,0.018026960165191445,8.51410592338914e-07
0.07943282347242814,0.19055303560773235,1.7882079752064148,0.2247978104794815,0.03424301538598778,1.7594856982309963e-06
0.09999999999999999,0.2137487594490136,1.7951915176984292,0.28015136489823556,0.06639919506558054,3.410383655907031e-06
0.12589254117941676,0.23158032255668645,1.8000627914214289,0.34823792467298537,0.1166522093191257,5.392797549588372e-06
0.15848931924611137,0.2577047803608151,1.8065611703191207,0.4314847523019728,0.17377280369617845,7.168246475611507e-06
0.19952623149688797,0.2981403154177732,1.8154223004673793,0.5325006169318864,0.2343511438336408,9.157685092464552e-06
0.25118864315095807,0.3546947609033931,1.8259824620835317,0.6539171998445276,0.29920739300147015,1.5045950118218262e-05
0.31622776601683794,0.42546342705027734,1.8370429940030664,0.7981170592731219,0.37261972363791773,3.390860477193561e-05
0.3981071705534973,0.5083948032653243,1.8478700307653708,0.9668137842011832,0.4583310756695952,8.790530331890506e-05
0.5011872336272724,0.6034663448419351,1.8582929861515647,1.1604622945850473,0.5567625360316268,0.00023341378019811973
0.6309573444801931,0.7098198330305678,1.8681620479810626,1.3775143097348306,0.6671041221280563,0.0005903547025400131
0.7943282347242817,0.8251602586593016,1.877316478837248,1.6136095520727871,0.7870563157057451,0.001392977937505158
1.0,0.9453855415407645,1.8855862211726473,1.8609145914407157,0.9124574254594975,0.003071624852798249
1.2589254117941673,1.0644566216558666,1.8927987698060635,2.1079699487322814,1.037139557947103,0.006373769857704159
1.5848931924611138,1.1747268295108255,1.8987919351222242,2.340508459254885,1.15325275915183,0.01252887185579837
1.9952623149688808,1.2679121371225983,1.9034331943341958,2.5436147600173484,1.252246996145247,0.02345562889824363
2.5118864315095824,1.3366515251480409,1.9066432218747063,2.7051269533707893,1.3264661677287317,0.04200926407275869
3.162277660168379,1.376169332046412,1.9084147166334509,2.8193095511752597,1.3708619393021033,0.0722782856664044
3.981071705534973,1.3851291073381664,1.9088092855024412,2.8889733656505294,1.3838997122995225,0.11994455536419961
5.011872336272724,1.364872886639092,1.9079135686023527,2.9243216435916084,1.3668257073739623,0.1926230643111597
6.309573444801935,1.3172881782241066,1.9057559955959367,2.9385691028135197,1.3215228909835377,0.2997580564981709
7.94328234724282,1.2430337400231102,1.9022283352317213,2.9428783288699534,1.2487006205408617,0.4511440034626012
10.0,1.1421629305933236,1.8970827222642728,2.943789883210651,1.1484920762215174,0.6531349299046552
