mode,HER,OER,catalyst_off_Voc_max_V,OWS_thermodynamically_accessible,steady_state,J_mA_cm2,U_H_V,U_O_V,separation_V
AA,adaptive,adaptive,,True,OWS,0.9453855415407645,-0.29756186293097203,1.5880243582416753,1.8855862211726473
BA,buried,adaptive,2.190227255341502,True,OWS,0.03037917334853866,-0.1483330477890821,1.528303038083604,1.676636085872686
AB,adaptive,buried,0.7079110466147658,False,reverse expected; OWS screened out,,,,
BB,buried,buried,0.1499999999815169,False,HOR+ORR reverse load,-0.049997341314966096,0.5973249554869811,0.7500700181746999,0.1527450626877188
