x_um,U_CB_V_vs_RHE,U_VB_V_vs_RHE,U_Fn_V_vs_RHE,U_Fp_V_vs_RHE,n_cm3,p_cm3,Jn_mA_cm2,Jp_mA_cm2,Jtotal_mA_cm2
0.0,-0.35788705536259746,2.8421129446374027,0.0585382437489686,2.407421934855356,5487904388770.491,5799963244001.0205,0.8792592174447614,-0.9292565587597276,-0.049997341314966096
0.0005555555555555556,-0.35463639950281733,2.845363600497183,0.05852781555544129,2.4080071491250434,6230605684527.176,5228413802066.818,0.8782256282733647,-0.928222969588331,-0.04999734131496627
0.0011111111111111111,-0.35140436001135916,2.848595639988641,0.05851863775087257,2.408654586817245,7068352176816.792,4728039964973.831,0.8771920396703281,-0.9271893809852942,-0.049997341314966096
0.0016666666666666666,-0.34819093686328006,2.85180906313672,0.05851055419502754,2.409368552430033,8012589890602.756,4289745835278.343,0.8761584488579922,-0.9261557901729583,-0.049997341314966096
0.0022222222222222222,-0.34499613003281043,2.85500386996719,0.058503428987431216,2.410153211901127,9076047692164.84,3905634857450.1177,0.8751248534464822,-0.9251221947614482,-0.049997341314966096
0.0027777777777777775,-0.3418199394929691,2.858180060507031,0.05849714374701326,2.411012504781018,10272868882534.117,3568847258479.096,0.8740912515272676,-0.9240885928422337,-0.049997341314966096
0.003333333333333333,-0.33866236521517235,2.861337634784828,0.05849159527145292,2.4119500523965574,11618754809851.574,3273420086468.047,0.8730576417030328,-0.9230549830179988,-0.049997341314966096
0.0038888888888888883,-0.33552340716882967,2.8644765928311706,0.05848669352049368,2.412969065608557,13131121427467.664,3014166633441.5005,0.8720240230650516,-0.9220213643800177,-0.049997341314966096
0.0044444444444444444,-0.33240306532092306,2.867596934679077,0.05848235987721534,2.4140722562918007,14829269776543.783,2786572491417.9585,0.8709903951351817,-0.9209877364501479,-0.049997341314966096
0.005,-0.3293013396355629,2.8706986603644373,0.058478525647044366,2.4152617569878028,16734571425678.629,2586705893582.025,0.869956757789746,-0.919954099104712,-0.049997341314966096
0.005555555555555555,-0.3262182300735166,2.8737817699264836,0.05847513076089006,2.4165390531187705,18870669953761.902,2411140329793.57,0.8689231111792909,-0.9189204524942569,-0.049997341314966096
0.0061111111111111106,-0.3231537365917041,2.876846263408296,0.058472122653685454,2.41790493171084,21263699616497.945,2256887714589.54,0.8678894556536095,-0.9178867969685756,-0.049997341314966096
0.006666666666666666,-0.32010785914265555,2.879892140857345,0.058469455293717554,2.4193594497706172,23942522391321.22,2121340633681.0742,0.8668557916971242,-0.9168531330120905,-0.04999734131496627
0.007222222222222222,-0.31708059767392455,2.882919402326076,0.05846708834177344,2.4209019243240415,26938984649223.465,2002222405234.3254,0.8658221198764743,-0.9158194611914405,-0.04999734131496627
0.007777777777777777,-0.3140719521274527,2.8859280478725475,0.05846498642215564,2.422530944780351,30288194755022.22,1897543872037.184,0.8647884408000595,-0.9147857821150256,-0.049997341314966096
0.008333333333333333,-0.31108192243887844,2.888918077561122,0.0584631184901957,2.424244406866716,34028822949331.05,1805565994411.8682,0.8637547550881719,-0.9137520964031379,-0.049997341314966096
0.008888888888888889,-0.3081105085367842,2.891889491463216,0.0584614572830382,2.4260395660514638,38203424915488.14,1724767445810.4927,0.8627210633519065,-0.9127184046668726,-0.049997341314966096
0.009444444444444443,-0.305157710341875,2.894842289658125,0.05845997884240223,2.427913107246588,42858790482214.14,1653816524645.2026,0.8616873661790045,-0.9116847074939706,-0.049997341314966096
0.01,-0.30222352776608263,2.8977764722339177,0.05845866209956796,2.4298612267959636,48046318957425.016,1591546792808.158,0.8606536641249758,-0.9106510054399418,-0.049997341314966096
0.010555555555555556,-0.29930796071158555,2.9006920392884146,0.05845748851424715,2.4318797223372117,53822422629498.766,1536935933364.5657,0.85961995770811,-0.9096172990230762,-0.04999734131496627
0.01111111111111111,-0.2964110090697397,2.9035889909302606,0.058456441760044275,2.4339640861128475,60248960009072.73,1489087391624.0613,0.8585862474072675,-0.9085835887222338,-0.04999734131496627
0.011666666666666667,-0.293532672719909,2.906467327280091,0.05845550745039568,2.4361095975886595,67393700415543.53,1447214422665.2754,0.8575525336615986,-0.9075498749765647,-0.049997341314966096
0.012222222222222221,-0.29067295152818884,2.9093270484718112,0.058454672899549476,2.438311411835635,75330821538175.19,1410626222115.5369,0.8565188168715479,-0.9065161581865139,-0.049997341314966096
0.012777777777777779,-0.2878318453460104,2.91216815465399,0.058453926914037,2.440564640854174,84141441619927.67,1378715860656.1353,0.8554850974006731,-0.9054824387156394,-0.04999734131496627
0.013333333333333332,-0.2850093540086197,2.9149906459913804,0.05845325961046299,2.442864425834543,93914187923528.12,1350949781484.2473,0.8544513755779508,-0.904448716892917,-0.049997341314966096
0.013888888888888886,-0.28220547733341583,2.9177945226665845,0.05845266225642781,2.445205999136626,104745803139954.28,1326858652572.4253,0.8534176517003148,-0.903414993015281,-0.04999734131496627
0.014444444444444444,-0.27942021511814047,2.9205797848818595,0.058452127131353726,2.447584735501381,116741791392968.47,1306029394490.197,0.8523839260352828,-0.9023812673502489,-0.049997341314966096
0.015,-0.276653567138905,2.923346432861095,0.058451647404729246,2.4499961925954534,130017105473521.66,1288098228307.1943,0.8513501988235508,-0.9013475401385168,-0.049997341314966096
0.015555555555555553,-0.2739055331480428,2.9260944668519575,0.058451217029516056,2.4524361414634352,144696876907201.25,1272744609599.1501,0.8503164702814907,-0.900313811596457,-0.04999734131496627
0.016111111111111107,-0.271176112871772,2.928823887128228,0.05845083064876261,2.4549005877821894,160917190413746.88,1259685932382.9365,0.8492827406035074,-0.8992800819184735,-0.049997341314966096
0.016666666666666666,-0.26846530600765645,2.9315346939923437,0.05845048351373916,2.457385785013597,178825904259028.3,1248672902580.3525,0.8482490099642328,-0.8982463512791989,-0.049997341314966096
0.017222222222222222,-0.26577311222184613,2.934226887778154,0.05845017141212694,2.459888240640501,198583517925733.62,1239485493923.8853,0.8472152785205459,-0.897212619835512,-0.049997341314966096
0.017777777777777778,-0.2630995311460844,2.9369004688539158,0.05844989060498601,2.4624047166789116,220364088437962.4,1231929410914.5706,0.8461815464134217,-0.8961788877283878,-0.049997341314966096
0.018333333333333333,-0.2604445623744624,2.939555437625538,0.05844963777139556,2.464932225603774,244356196565836.12,1225832993434.0757,0.8451478137696082,-0.8951451550845743,-0.049997341314966096
0.018888888888888886,-0.25780820545990335,2.942191794540097,0.058449409959801246,2.4674680227294763,270763964007853.66,1221044506271.0076,0.8441140807031446,-0.8941114220181108,-0.049997341314966096
0.019444444444444445,-0.2551904599103583,2.9448095400896417,0.058449204545231004,2.4700095959665616,299808122499846.8,1217429764303.4575,0.8430803473167293,-0.8930776886316953,-0.049997341314966096
0.02,-0.25259132518469274,2.9474086748153074,0.05844901919164813,2.4725546537468905,331727135628851.4,1214870050563.6628,0.842046613702947,-0.8920439550179132,-0.04999734131496627
0.020555555555555556,-0.25001080068824294,2.9499891993117573,0.05844885181880427,2.4751011117796917,366778373936882.3,1213260289988.9712,0.8410128799453721,-0.8910102212603382,-0.049997341314966096
0.021111111111111112,-0.2474488857680209,2.952551114231979,0.058448700573037,2.4776470791793987,405239343682404.06,1212507446545.0056,0.8399791461195532,-0.8899764874345195,-0.04999734131496627
0.021666666666666664,-0.2449055797075446,2.9550944202924554,0.05844856380152577,2.480190844394334,447408969385248.0,1212529115571.4055,0.8389454122938945,-0.8889427536088605,-0.049997341314966096
0.02222222222222222,-0.2423808817212693,2.957619118278731,0.058448440029584464,2.4827308612682297,493608930012927.4,1213252286869.6055,0.8379116785304419,-0.8879090198454079,-0.049997341314966096
0.02277777777777778,-0.2398747909485956,2.9601252090514047,0.05844832794061888,2.4852657354827046,544185048371964.56,1214612257197.3523,0.8368779448855861,-0.8868752862005522,-0.049997341314966096
0.023333333333333334,-0.2373873064474281,2.9626126935525723,0.05844822635842592,2.487794211558843,599508732946315.9,1216551673573.6687,0.8358442114106872,-0.8858415527256532,-0.049997341314966096
0.02388888888888889,-0.23491842718725764,2.9650815728127426,0.058448134231552096,2.490315160539063,659978471075744.8,1219019691189.1934,0.8348104781526328,-0.8848078194675988,-0.049997341314966096
0.024444444444444442,-0.2324681520417395,2.9675318479582606,0.05844805061946309,2.49282756842418,726021371989746.4,1221971231763.4062,0.8337767451543353,-0.8837740864693016,-0.04999734131496627
0.024999999999999998,-0.23003647978073918,2.969963520219261,0.05844797468030674,2.495330525405033,798094757807191.4,1225366330008.2886,0.8327430124551759,-0.8827403537701419,-0.049997341314966096
0.025555555555555557,-0.22762340906181483,2.972376590938185,0.05844790566008051,2.4978232159003086,876687800178369.4,1229169557412.6487,0.8317092800913976,-0.8817066214063638,-0.04999734131496627
0.026111111111111113,-0.225228938421108,2.9747710615788923,0.058447842883035644,2.500304909391005,962323199784827.0,1233349513894.488,0.8306755480964592,-0.8806728894114254,-0.04999734131496627
0.026666666666666665,-0.22285306626360937,2.9771469337363907,0.05844778574317208,2.5027749520283185,1055558905423965.0,1237878379112.499,0.8296418165013479,-0.8796391578163141,-0.049997341314966096
