status,mean_bending_V,asymmetry_V,band_bending_H_input_V,band_bending_O_input_V,k_m_s,mu_n_cm2_Vs,mu_p_cm2_Vs,initial_Jsem_mA_cm2,initial_counterflow_mA_cm2,initial_QFL_split_V,initial_BVP_residual,J_OWS_mA_cm2,Jgen_mA_cm2,utilization_percent,counterflow_mA_cm2,SRH_mA_cm2,MIEC_separation_V,U_H_V,U_O_V,QFL_split_V,eta_H_abs_V,eta_O_V,final_BVP_residual,current_budget_residual_mA_cm2,Jp_H_mA_cm2,Jn_O_mA_cm2
no_forward_seed,0.7,0.0,0.7,0.7,10.0,5.0,0.1,1.7763568394002506e-16,1.857640226304051,2.707566669456764,8.406540462331981e-09,0.0,,,,,,,,,,,,,,
ok,0.7,0.05,0.6749999999999999,0.725,10.0,5.0,0.1,0.7043882470293766,1.1532926996946589,2.707347268139421,1.4781228220479392e-06,0.6993962866907013,1.860914591440716,37.583470510015744,1.1582824870209742,0.003235817639499,1.867262595737952,-0.2844736628516542,1.5827889328862972,2.707358961564973,0.2844736628516542,0.3537889328862971,2.989990879516627e-07,8.954117447501629e-11,-0.9210208509402776,-0.2372616360806965
ok,0.7,0.1,0.6499999999999999,0.75,10.0,5.0,0.1,0.9067944357337684,0.9509665057600184,2.7069049606258697,1.4939384832239372e-06,0.9035797984201726,1.860914591440716,48.55568345673636,0.9541729418719096,0.0031618515051456,1.8828363262126675,-0.2955976657040159,1.5872386605086513,2.70695022246368,0.2955976657040159,0.3582386605086511,2.997929757652882e-07,-3.5651197549668717e-10,-0.9137223840668482,-0.0404505578050614
ok,0.7,0.15,0.625,0.7749999999999999,10.0,5.0,0.1,0.9453857293834032,0.9124572473764476,2.7064336154617217,1.4927114586749342e-06,0.944214375276325,1.860914591440716,50.73926442509737,0.9136077688110288,0.0030924479622103,1.8855108537210616,-0.2975080293970214,1.5880028243240405,2.70655153415583,0.2975080293970214,0.3590028243240404,2.999660969522965e-07,-6.08848615968327e-10,-0.9068324759564976,-0.0067752928545312
ok,0.7,0.2,0.6,0.7999999999999999,10.0,5.0,0.1,0.9564367189037222,0.9014832976472228,2.705973944456093,1.492997116441779e-06,0.9564381886636678,1.860914591440716,51.3961356992314,0.9014352458464108,0.0030411578186147,1.886292922755863,-0.2980666464238327,1.5882262763320305,2.706243193571524,0.2980666464238327,0.3592262763320302,2.997151189813484e-07,-8.87977513741589e-10,-0.9001188573202803,-0.0013163885261305
ok,0.7,0.3,0.5499999999999999,0.85,10.0,5.0,0.1,0.9690732288080104,0.888986155946828,2.705098540314461,1.4930620498910493e-06,0.9715066138705426,1.860914591440716,52.20586792854391,0.8863991378737388,0.0030088412937616,1.8872433466657723,-0.298745516203449,1.5884978304623232,2.7060112682200854,0.298745516203449,0.3594978304623231,2.989775950151561e-07,-1.5973272482483481e-09,-0.8862900461830941,-0.0001090916906446
no_forward_seed,0.85,0.0,0.85,0.85,10.0,5.0,0.1,0.0,1.857640226304052,2.707566669456763,8.373526909567872e-09,0.0,,,,,,,,,,,,,,
ok,0.85,0.05,0.825,0.875,10.0,5.0,0.1,0.704388247029377,1.1532926996946586,2.707347268139421,1.4781228214472276e-06,0.7043735251733269,1.860914591440716,37.85093246154852,1.1533074145498727,0.003233651611539,1.867693743980653,-0.2847816230178755,1.5829121209627772,2.7073473029858937,0.2847816230178755,0.3539121209627771,2.988480882174746e-07,1.05977271402935e-10,-0.921029199236608,-0.2322782153132648
ok,0.85,0.1,0.7999999999999999,0.9,10.0,5.0,0.1,0.9067944357337684,0.9509665057600184,2.7069049606258697,1.493938483218018e-06,0.9067850170290328,1.860914591440716,48.72792234527013,0.9509758989288084,0.0031536757724823,1.883051617642098,-0.2957514442184842,1.5873001734236136,2.7069050988546453,0.2957514442184842,0.3583001734236135,2.999825216347543e-07,-2.8960780440456804e-10,-0.9137787998889596,-0.0371970990398489
ok,0.85,0.15,0.775,0.925,10.0,5.0,0.1,0.9453857293834032,0.9124572473764476,2.706433615461722,1.4927114586749342e-06,0.945382363879879,1.860914591440716,50.80202864914752,0.9124605448531052,0.0030716831207014,1.8855860168086744,-0.2975617169576811,1.588024299850993,2.7064339998414404,0.2975617169576811,0.3590242998509929,2.9894676752979765e-07,-4.129701025590293e-10,-0.90703342407171,-0.0054271207813953
ok,0.85,0.2,0.75,0.95,10.0,5.0,0.1,0.9564367189037222,0.9014832976472228,2.705973944456093,1.492997115892939e-06,0.9564371347853272,1.860914591440716,51.39607906695255,0.9014827066336336,0.002994750459526,1.8862928557614125,-0.2980665985709697,1.5882262571904429,2.705974963007608,0.2980665985709697,0.3592262571904427,2.997980533025582e-07,-4.3777106384368383e-10,-0.9006888955909049,-0.0007938110427285
ok,0.85,0.3,0.7,1.0,10.0,5.0,0.1,0.9690732288080104,0.888986155946828,2.7050985403144607,1.4930620490084166e-06,0.9690910191835004,1.860914591440716,52.07606107452962,0.8889672079967023,0.0028563647187806,1.887091982148536,-0.2986373993934501,1.588454582755085,2.705105589286022,0.2986373993934501,0.3594545827550852,2.9807177992268015e-07,-4.5826755723510356e-10,-0.8889361335356902,-3.107446101197522e-05
no_forward_seed,0.925,0.0,0.925,0.925,10.0,5.0,0.1,0.0,1.857640226304052,2.707566669456762,8.377887214933194e-09,0.0,,,,,,,,,,,,,,
ok,0.925,0.05,0.9,0.95,10.0,5.0,0.1,0.704388247029377,1.1532926996946586,2.707347268139421,1.4781228214472276e-06,0.7043874434836299,1.860914591440716,37.851680390033096,1.1532934931302532,0.0032336547191388,1.8676949453624256,-0.2847824811397642,1.5829124642226615,2.707347270043747,0.2847824811397642,0.3539124642226616,2.988519179639272e-07,1.0769394265253136e-10,-0.9210292231131356,-0.2322642700171175
