V_terminal_V,Jsem_mA_cm2,U_CB_H_V,U_CB_O_V,BVP_residual
0.0,0.9453857293777068,-0.9552120108495785,-1.1052120108495787,6.160784701715605e-10
0.005,0.9435661217040596,-0.9552120108495785,-1.1002120108495788,2.989519958483518e-07
0.01,0.9414959438404024,-0.9552120108495785,-1.0952120108495786,2.9733455652498735e-07
0.015,0.9391230901934635,-0.9552120108495785,-1.0902120108495787,2.981206477358986e-07
0.02,0.9363847089331001,-0.9552120108495785,-1.0852120108495789,2.9999252301586257e-07
0.025,0.9332050954142908,-0.9552120108495785,-1.0802120108495787,2.9839299531221944e-07
0.03,0.9294932256672711,-0.9552120108495785,-1.0752120108495786,2.9375875722430247e-07
0.035,0.9251398941931874,-0.9552120108495785,-1.0702120108495787,2.9913877814198594e-07
0.04,0.9200144305258533,-0.9552120108495785,-1.0652120108495786,2.984971513035951e-07
0.045,0.9139609885408893,-0.9552120108495785,-1.0602120108495787,2.986497919796822e-07
0.05,0.9067944357097257,-0.9552120108495785,-1.0552120108495786,2.99667592765452e-07
0.055,0.8982959221194626,-0.9552120108495785,-1.0502120108495787,2.9907191897073005e-07
0.06,0.888208288274918,-0.9552120108495785,-1.0452120108495786,2.9904728426075355e-07
0.065,0.876231584748932,-0.9552120108495785,-1.0402120108495787,2.993745842650501e-07
0.07,0.8620191340647867,-0.9552120108495785,-1.0352120108495786,2.996999103493004e-07
0.075,0.8451747722503701,-0.9552120108495785,-1.0302120108495787,2.99635829828484e-07
0.08,0.825252164836838,-0.9552120108495785,-1.0252120108495786,2.96811094243162e-07
0.085,0.8017573878747642,-0.9552120108495785,-1.0202120108495787,2.999720063344894e-07
0.09,0.7741562653250069,-0.9552120108495785,-1.0152120108495786,2.9990819987911927e-07
0.095,0.7418881931900714,-0.9552120108495785,-1.0102120108495787,2.997727962408764e-07
0.1,0.7043882469373394,-0.9552120108495785,-1.0052120108495786,2.991533003627894e-07
0.105,0.6611191031960628,-0.9552120108495785,-1.0002120108495787,2.9990662764192533e-07
0.11,0.6116135172194881,-0.9552120108495785,-0.9952120108495787,2.9817198818230287e-07
0.115,0.555526607887691,-0.9552120108495785,-0.9902120108495787,2.989611189481186e-07
0.12,0.49269494467056524,-0.9552120108495785,-0.9852120108495787,2.969657113114314e-07
0.125,0.42319657988154996,-0.9552120108495785,-0.9802120108495785,2.9652695303982546e-07
0.13,0.3474032658272609,-0.9552120108495785,-0.9752120108495786,2.98634084325863e-07
0.135,0.2660140778643004,-0.9552120108495785,-0.9702120108495785,2.993915665043494e-07
0.14,0.18005968530857466,-0.9552120108495785,-0.9652120108495785,2.9967456673685993e-07
0.145,0.09086950058496175,-0.9552120108495785,-0.9602120108495786,2.999534040541905e-07
0.15,-3.410955073945843e-10,-0.9552120108495785,-0.9552120108495786,2.989610963552621e-07
0.155,-0.09086950126715418,-0.9552120108495785,-0.9502120108495786,2.999534037116505e-07
0.16,-0.18005968599077207,-0.9552120108495785,-0.9452120108495786,2.996745316861822e-07
0.165,-0.2660140785465061,-0.9552120108495785,-0.9402120108495786,2.9939156313625207e-07
0.17,-0.34740326650947767,-0.9552120108495785,-0.9352120108495786,2.986340844692999e-07
0.17500000000000002,-0.42319658056377996,-0.9552120108495785,-0.9302120108495786,2.965269523731395e-07
0.18,-0.4926949453528097,-0.9552120108495785,-0.9252120108495787,2.969657110429215e-07
0.185,-0.5555266085699541,-0.9552120108495785,-0.9202120108495786,2.9896111501372203e-07
0.19,-0.6116135179017688,-0.9552120108495785,-0.9152120108495787,2.9817198885073616e-07
0.195,-0.6611191038783645,-0.9552120108495785,-0.9102120108495786,2.999066197977508e-07
0.2,-0.7043882476196599,-0.9552120108495785,-0.9052120108495787,2.991533006207463e-07
0.20500000000000002,-0.7418881938724122,-0.9552120108495785,-0.9002120108495786,2.997727959782099e-07
0.21,-0.7741562660073673,-0.9552120108495785,-0.8952120108495787,2.999082001896476e-07
0.215,-0.8017573885571443,-0.9552120108495785,-0.8902120108495788,2.9997264780350766e-07
0.22,-0.8252521655192384,-0.9552120108495785,-0.8852120108495787,2.9681109431694683e-07
